Fecha,Concepto,Cargos
07/01/2019,FAC Servicio SIN PAGO,7666.58
07/01/2019,FAC Servicio PAGADA,12002.82
09/01/2019,FAC Servicio SIN PAGO,209465.43
09/01/2019,FAC Servicio SIN PAGO,1225.88
09/01/2019,FAC Servicio SIN PAGO,29114.85
09/01/2019,FAC Servicio PAGADA,22297.42
09/01/2019,FAC Servicio PAGADA,113000.12
09/01/2019,FAC Servicio SIN PAGO,71986.51
09/01/2019,FAC Servicio SIN PAGO,18226.38
09/01/2019,FAC Servicio SIN PAGO,3900.57
09/01/2019,FAC Servicio SIN PAGO,56213.6
09/01/2019,FAC Servicio SIN PAGO,39107.47
09/01/2019,FAC Servicio SIN PAGO,1051.42
10/01/2019,FAC Servicio SIN PAGO,136116.87
10/01/2019,FAC Servicio SIN PAGO,2342.21
10/01/2019,FAC Servicio SIN PAGO,41219.44
10/01/2019,FAC Servicio SIN PAGO,20420.0
10/01/2019,FAC Servicio SIN PAGO,20420.0
10/01/2019,FAC Servicio SIN PAGO,2972.96
10/01/2019,FAC Servicio SIN PAGO,291143.6
10/01/2019,FAC Servicio SIN PAGO,17400.0
10/01/2019,FAC Servicio SIN PAGO,25646.74
11/01/2019,FAC Servicio PAGADA,15799.2
11/01/2019,FAC Servicio SIN PAGO,4060.0
11/01/2019,FAC Servicio SIN PAGO,262244.97
11/01/2019,FAC Servicio SIN PAGO,8700.0
14/01/2019,FAC Servicio SIN PAGO,114017.24
14/01/2019,FAC Servicio SIN PAGO,100786.25
14/01/2019,FAC Servicio SIN PAGO,68852.43
14/01/2019,FAC Servicio SIN PAGO,19352.65
15/01/2019,FAC Servicio PAGADA,8874.0
15/01/2019,FAC Servicio PAGADA,16452.14
15/01/2019,FAC Servicio SIN PAGO,113008.24
15/01/2019,FAC Servicio SIN PAGO,7666.58
15/01/2019,FAC Servicio SIN PAGO,2342.21
17/01/2019,FAC Ventas SIN PAGO,2985.84
17/01/2019,FAC Servicio SIN PAGO,1837.9
17/01/2019,FAC Servicio SIN PAGO,2972.96
17/01/2019,FAC Servicio SIN PAGO,11169.67
17/01/2019,FAC Servicio SIN PAGO,7250.0
17/01/2019,FAC Servicio SIN PAGO,7598.0
17/01/2019,FAC Servicio SIN PAGO,3781.6
18/01/2019,FAC Servicio SIN PAGO,68727.68
18/01/2019,FAC Ventas SIN PAGO,604.94
18/01/2019,FAC Servicio SIN PAGO,21937.92
18/01/2019,FAC Servicio SIN PAGO,138919.63
18/01/2019,FAC Ventas SIN PAGO,377569.24
18/01/2019,FAC Ventas SIN PAGO,1309.18
18/01/2019,FAC Servicio SIN PAGO,968.57
18/01/2019,FAC Servicio SIN PAGO,4281.94
23/01/2019,FAC Servicio PAGADA,11339.0
23/01/2019,FAC Ventas PAGADA,4564.6
28/01/2019,FAC Servicio PAGADA,3364.0
28/01/2019,FAC Servicio PAGADA,1264.4
28/01/2019,FAC Servicio SIN PAGO,7666.58
29/01/2019,FAC Servicio PAGADA,5287.28
29/01/2019,FAC Servicio PAGADA,1830.48
30/01/2019,FAC Servicio PAGADA,4895.2
30/01/2019,FAC Servicio SIN PAGO,12504.8
30/01/2019,FAC Servicio SIN PAGO,2239.35
31/01/2019,FAC Servicio SIN PAGO,2535.9
31/01/2019,FAC Servicio PAGADA,7134.0
06/02/2019,FAC Ventas SIN PAGO,3515.38
06/02/2019,FAC Servicio SIN PAGO,55901.39
06/02/2019,FAC Servicio SIN PAGO,25071.13
06/02/2019,FAC Ventas SIN PAGO,1763.2
06/02/2019,FAC Servicio SIN PAGO,1628.0
07/02/2019,FAC Servicio PAGADA,3323.4
08/02/2019,FAC Servicio PAGADA,3197.11
08/02/2019,FAC Servicio SIN PAGO,18219.03
08/02/2019,FAC Servicio SIN PAGO,13753.81
08/02/2019,FAC Servicio SIN PAGO,185893.56
08/02/2019,FAC Servicio SIN PAGO,178082.16
08/02/2019,FAC Servicio SIN PAGO,72552.44
08/02/2019,FAC Servicio PAGADA,3261.57
08/02/2019,FAC Servicio PAGADA,321.0
08/02/2019,FAC Servicio SIN PAGO,2972.96
08/02/2019,FAC Ventas SIN PAGO,21772.62
11/02/2019,FAC Servicio PAGADA,2200.66
11/02/2019,FAC Servicio PAGADA,17864.0
12/02/2019,FAC Servicio SIN PAGO,55901.39
12/02/2019,FAC Servicio SIN PAGO,21525.73
